,screen_name
jeleyinte,42
MDeebadguy,32
queenmowunmi,27
jervisngala,27
KingOlaszn,27
AsinaAziku,26
boobooshugar,26
Cracylyn,24
Quickteller,24
OladejiSolape,22
sterlinghelp,21
AcadaNed,20
Tboy58657773T,20
Smiling_Chee1,19
Abba_Gee51,19
MiracleElikor,18
___Bils,17
Harlexander_Ben,16
lotsofnumbersDK,16
Slimbaae,16
OpshotzP,16
Chuks_benjaminn,16
SanniJnr3,16
chikawisdom2000,16
Joelmxwll,16
MrWalexzy,16
Martins_Uz,15
harukaa_77,15
Pearlskitchen4,15
accessbank_help,15
OFF_ON_Gambit,15
LaraTheLaw,15
Josh61271872,14
babyxoxo01,14
Egi_nupe_,14
peacefmonline,14
Classycrystale1,13
vilechukwu10,13
Azlan_2345,13
mbaeme_promise,13
Jeff_Tymer_,13
yourlovepjb,13
Bigthelmz,13
rtscf_,13
Orlu_chi,12
FindingKan,12
zainabuwa,12
Mhodope,12
JojoNationNG,12
Tamuno_Jorge,12
WritingPoison,12
ImpactRoberts,12
HelenEchigba,12
cityfm__,11
simified2,11
anafricandiva,11
odiaka_emeka,11
Jiddo_sadiq,11
AliyuGi73,11
OreoluwaShalom,11
EkundayoMuyiwa4,11
Musty_Jaura,11
udiga2001,11
uzoxca,11
callmeMEJE,11
realminablog,11
Official_emela,11
elenagu85102247,11
Geodric_Alex,11
bin_Aaliu,11
ItepuStefan,11
ifeoluwa_rach,10
banjomyfavour,10
SULEIMANU2022,10
BamiShuaib,10
PromiseAdinoyi,10
meccuschioma,10
chidinmab12,10
sleekjd,10
MwaiAnika,10
fanzy_ogbogu,10
CollinCanpara,10
Ogedengbe_Josh,10
gudpaul,10
TheAniwaa,10
Nbagrandson2000,10
blacklabel117,10
avancemedia,10
Adesmiley01,10
CynthiaIgobah,10
nimii_a,10
don_phyno,10
kingsleynovich,10
GhanaSocialU,10
S_faeez92,10
DEagleOnline,9
collins2_0,9
Nitah2Nitah,9
wrldcruize,9
stuvwxyzed,9
LehiMukhtar,9
yemioftheworld,9
call_me_boe,9
rachelehis2,9
herald_digitals,9
koftownboy,9
titilayo64,9
myaccessbank,9
honchokeo,9
thajuniorDemba,9
kofisidechick,9
OBIDIENTFOLLOWA,9
iam_lekkybaba,9
psalmskalu,9
CoolFMAbuja,9
Liquidahmed,9
Iko273658571,9
siadevinci,9
OratioOdede,9
Augustyno24,9
_screenshoter,9
BashiruAbdulk10,9
abazwhyllzz,8
DEMAN004,8
TeerachCraft,8
_MiLES_couture,8
Miji_Mi,8
Okennafarms,8
PrettyDrVickee,8
musteegimba,8
D_fashionlygirl,8
__Senya_,8
JulioVernol,8
michealolubayo,8
Blaq_Uche,8
e2nu_of_God,8
oladiran_t,8
Bamphill,8
royzkingin,8
yeankhar,8
oluwatobiIoba,8
ADimokechukwu,8
sparkybwoi,8
waspirine1,8
DailyPostNGR,8
vickie_coco,8
Amooti_Baby,8
ebitt,8
Gracebey4,8
Chukwunonso_CC,8
tinynympho,8
Thatnsukkaboy_,8
danny_idy,8
dube_prince,8
dream925fm,8
Djbarns_,8
emmanuelpetit36,8
calabar_chicc,8
Aynoniii,8
the_utibe,8
Ibukun10621651,8
deon_tv1,8
Obong_Aniekan,8
Msmenalicious,8
AlhHashim02,7
Sevenderful1,7
Moonruona,7
Sympah_,7
theyloverechi,7
